Asti comune,Asti comune.1
(dettagli),(dettagli)
Asti – VedutaLa fontana di Piazza Medici e la Torre Troyana,Asti – VedutaLa fontana di Piazza Medici e la Torre Troyana
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Maurizio Rasero (FI) dal 27-6-2017 (2º mandato dal 18-6-2022)
Territorio,Territorio
Coordinate,44°54′00″N 8°12′25″E
Altitudine,123 m s.l.m.
Superficie,"151,31 km²"
Abitanti,73 653[1] (30-11-2025)
Densità,"486,77 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Azzano d'Asti, Baldichieri d'Asti, Calliano Monferrato, Castagnole Monferrato, Castell'Alfero, Castello di Annone, Celle Enomondo, Chiusano d'Asti, Cinaglio, Cossombrato, Isola d'Asti, Monale, Mongardino, Portacomaro, Refrancore, Revigliasco d'Asti, Rocca d'Arazzo, San Damiano d'Asti, Settime, Tigliole, Vigliano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14100
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005005
Cod. catastale,A479
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,"astesi, astigiani"
Patrono,san Secondo
Giorno festivo,primo martedì del mese di maggio
Motto,ASTE NITET MUNDO SANCTO CUSTODE SECUNDO
Cartografia,Cartografia
Asti,Asti
Asti – MappaPosizione del comune di Asti all'interno dell'omonima provincia,Asti – MappaPosizione del comune di Asti all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
