Casorzo Monferrato comune,Casorzo Monferrato comune.1
,
Casorzo Monferrato – VedutaVeduta del paese,Casorzo Monferrato – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Ivana Mussa (lista civica) dal 15-5-2011
Territorio,Territorio
Coordinate,45°01′24″N 8°20′17″E
Altitudine,275 m s.l.m.
Superficie,"12,65 km²"
Abitanti,581[1] (30-11-2025)
Densità,"45,93 ab./km²"
Comuni confinanti,"Altavilla Monferrato (AL), Grana Monferrato, Grazzano Badoglio, Montemagno Monferrato, Olivola (AL), Ottiglio (AL), Vignale Monferrato (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14032
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005020
Cod. catastale,B991
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,casorzesi
Patrono,san Vincenzo di Saragozza
Giorno festivo,22 gennaio
Cartografia,Cartografia
Casorzo Monferrato,Casorzo Monferrato
Casorzo Monferrato – MappaMappa di localizzazione del comune di Casorzo nella provincia di Asti,Casorzo Monferrato – MappaMappa di localizzazione del comune di Casorzo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
