Cocconato comune,Cocconato comune.1
,
Cocconato – VedutaPanorama del paese,Cocconato – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Monica Marello dal 09-06-2024
Territorio,Territorio
Coordinate,45°05′20″N 8°02′26″E
Altitudine,491 m s.l.m.
Superficie,"16,52 km²"
Abitanti,1 424[1] (30-11-2025)
Densità,"86,2 ab./km²"
Frazioni,"Bonvino, Cocconito, Foino, Gesso, Maroero, Solza, Spagnolino, Stazione, Tabiella, Tuffo, Vastapaglia"
Comuni confinanti,"Aramengo, Brozolo (TO), Montiglio Monferrato, Moransengo-Tonengo, Passerano Marmorito, Piovà Massaia, Robella"
Altre informazioni,Altre informazioni
Cod. postale,14023
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005042
Cod. catastale,C807
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 895 GG[3]"
Nome abitanti,cocconatesi
Patrono,santi Fausto e Felice
Giorno festivo,11 settembre
Cartografia,Cartografia
Cocconato,Cocconato
Cocconato – MappaMappa di localizzazione del comune di Cocconato nella provincia di Asti,Cocconato – MappaMappa di localizzazione del comune di Cocconato nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
