San Giorgio Scarampi comune,San Giorgio Scarampi comune.1
,
San Giorgio Scarampi – VedutaPanorama,San Giorgio Scarampi – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Marco Listello (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°36′43″N 8°14′37″E
Altitudine,655 m s.l.m.
Superficie,"6,15 km²"
Abitanti,97[1] (30-11-2025)
Densità,"15,77 ab./km²"
Comuni confinanti,"Olmo Gentile, Perletto (CN), Roccaverano, Vesime"
Altre informazioni,Altre informazioni
Cod. postale,14059
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,005098
Cod. catastale,H899
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 032 GG[3]"
Nome abitanti,sangiorgesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
San Giorgio Scarampi,San Giorgio Scarampi
San Giorgio Scarampi – MappaMappa di localizzazione del comune di San Giorgio Scarampi nella provincia di Asti,San Giorgio Scarampi – MappaMappa di localizzazione del comune di San Giorgio Scarampi nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
