Camerano Casasco comune,Camerano Casasco comune.1
,
Camerano Casasco – Veduta,Camerano Casasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Valter Penna (lista civica Il paese) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°59′33″N 8°05′32″E
Altitudine,300 m s.l.m.
Superficie,"6,89 km²"
Abitanti,419[1] (30-11-2025)
Densità,"60,81 ab./km²"
Frazioni,"Casasco, Madonna, Serra"
Comuni confinanti,"Chiusano d'Asti, Cinaglio, Cortandone, Cortazzone, Montechiaro d'Asti, Soglio"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005016
Cod. catastale,B469
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,cameranesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Camerano Casasco,Camerano Casasco
Camerano Casasco – MappaMappa di localizzazione del comune di Camerano Casasco nella provincia di Asti,Camerano Casasco – MappaMappa di localizzazione del comune di Camerano Casasco nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
