San Marzano Oliveto comune,San Marzano Oliveto comune.1
,
San Marzano Oliveto – Veduta,San Marzano Oliveto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,"Pierangelo Bordino, eletto il 09/06/2024. Lista civica Giovani per il Territorio"
Territorio,Territorio
Coordinate,44°45′19″N 8°17′47″E
Altitudine,301 m s.l.m.
Superficie,"9,68 km²"
Abitanti,936[1] (30-11-2025)
Densità,"96,69 ab./km²"
Frazioni,"Corte, Leiso, Mariano, Saline, Italiana, Valle Asinari, Marziano"
Comuni confinanti,"Calamandrana, Canelli, Castelnuovo Calcea, Moasca, Nizza Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,14050
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005100
Cod. catastale,I017
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 735 GG[3]"
Nome abitanti,sanmarzanesi
Patrono,Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
San Marzano Oliveto,San Marzano Oliveto
San Marzano Oliveto – MappaMappa di localizzazione del comune di San Marzano Oliveto nella provincia di Asti,San Marzano Oliveto – MappaMappa di localizzazione del comune di San Marzano Oliveto nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
