Montiglio Monferrato comune,Montiglio Monferrato comune.1
,
Montiglio Monferrato – VedutaVeduta del paese,Montiglio Monferrato – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Dimitri Tasso (lista civica Uniti per migliorare) dall'11-6-2018
Data di istituzione,1º settembre 1998
Territorio,Territorio
Coordinate,45°03′58″N 8°05′54″E
Altitudine,321 m s.l.m.
Superficie,"26,86 km²"
Abitanti,1 495[1] (30-11-2025)
Densità,"55,66 ab./km²"
Frazioni,"Albarengo, Banengo, Carboneri, Castelcebro, Colcavagno, Cortanieto, Corziagno, Remorfengo, Rinco, Rocca, Scandeluzza, Stazione Ferroviaria, Stura, Sant'Anna, San Giorgio"
Comuni confinanti,"Cocconato, Cunico, Murisengo Monferrato (AL), Piovà Massaia, Robella, Montechiaro d'Asti, Tonco, Villa San Secondo, Villadeati (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14026
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005121
Cod. catastale,M302
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 752 GG[3]"
Nome abitanti,montigliesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Montiglio Monferrato,Montiglio Monferrato
Montiglio Monferrato – MappaMappa di localizzazione del comune di Montiglio Monferrato nella provincia di Asti,Montiglio Monferrato – MappaMappa di localizzazione del comune di Montiglio Monferrato nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
