San Damiano d'Asti comune,San Damiano d'Asti comune.1
,
San Damiano d'Asti – VedutaScorcio del Palazzo comunale,San Damiano d'Asti – VedutaScorcio del Palazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Davide Migliasso (lista civica Insieme per crescere) dal 27-5-2019
Territorio,Territorio
Coordinate,44°50′04″N 8°03′53″E
Altitudine,179 m s.l.m.
Superficie,"47,87 km²"
Abitanti,8 043[1] (30-11-2025)
Densità,"168,02 ab./km²"
Frazioni,"Gorzano, Lavezzole, San Giulio, San Pietro, Martinetta, Ripalda, San Giacomo, San Grato, San Luigi, Serra di Costa, Stizza, Torrazzo, Valdoisa, Valmolina, Vascagliana, Verzeglio"
Comuni confinanti,"Antignano, Asti, Canale (CN), Cantarana, Celle Enomondo, Cisterna d'Asti, Ferrere, Govone (CN), Priocca (CN), San Martino Alfieri, Tigliole"
Altre informazioni,Altre informazioni
Cod. postale,14015
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005097
Cod. catastale,H811
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 632 GG[3]"
Nome abitanti,sandamianesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
San Damiano d'Asti,San Damiano d'Asti
San Damiano d'Asti – MappaMappa di localizzazione del comune di San Damiano d'Asti nella provincia di Asti,San Damiano d'Asti – MappaMappa di localizzazione del comune di San Damiano d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
