San Martino Alfieri comune,San Martino Alfieri comune.1
,
San Martino Alfieri – VedutaVeduta Chiesa Parrocchiale,San Martino Alfieri – VedutaVeduta Chiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Andrea Gamba (lista civica Impegno e trasparenza) dal 26-5-2014
Territorio,Territorio
Coordinate,44°49′08″N 8°06′40″E
Altitudine,257 m s.l.m.
Superficie,"7,21 km²"
Abitanti,663[1] (30-11-2025)
Densità,"91,96 ab./km²"
Frazioni,"Fagnani, Firano, Garibaldi, Marelli, Quaglia, Saracchi"
Comuni confinanti,"Antignano, Costigliole d'Asti, Govone (CN), San Damiano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005099
Cod. catastale,H987
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 510 GG[3]"
Nome abitanti,sanmartinesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
San Martino Alfieri,San Martino Alfieri
San Martino Alfieri – MappaMappa di localizzazione del comune di San Martino Alfieri nella provincia di Asti,San Martino Alfieri – MappaMappa di localizzazione del comune di San Martino Alfieri nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
