Cisterna d'Asti comune,Cisterna d'Asti comune.1
,
Cisterna d'Asti – VedutaPanorama,Cisterna d'Asti – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Renzo Peletto (lista civica Cisterna) dall'8-6-2009 (3º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°49′38″N 8°00′07″E
Altitudine,350 m s.l.m.
Superficie,"10,73 km²"
Abitanti,1 220[1] (30-11-2025)
Densità,"113,7 ab./km²"
Frazioni,"San Matteo, Saretto, Scaglia, Valmellana, Valzeglio"
Comuni confinanti,"Canale (CN), Ferrere, Montà (CN), San Damiano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005040
Cod. catastale,C739
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 588 GG[3]"
Nome abitanti,cisternesi
Patrono,Madonna del Rosario
Giorno festivo,4 ottobre
Cartografia,Cartografia
Cisterna d'Asti,Cisterna d'Asti
Cisterna d'Asti – MappaMappa di localizzazione del comune di Cisterna d'Asti nella provincia di Asti,Cisterna d'Asti – MappaMappa di localizzazione del comune di Cisterna d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
