Castel Boglione comune,Castel Boglione comune.1
,
Castel Boglione – Veduta,Castel Boglione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Graziella Zanchetta (lista civica Per Castel Boglione Graziella Zanchetta) dal 10-06-2024
Territorio,Territorio
Coordinate,44°43′22″N 8°22′52″E
Altitudine,260 m s.l.m.
Superficie,"11,86 km²"
Abitanti,584[1] (30-11-2025)
Densità,"49,24 ab./km²"
Frazioni,Gianola
Comuni confinanti,"Calamandrana, Castel Rocchero, Fontanile, Montabone, Nizza Monferrato, Rocchetta Palafea"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005024
Cod. catastale,C064
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,castelboglionesi
Patrono,Assunzione della Vergine Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Castel Boglione,Castel Boglione
Castel Boglione – MappaMappa di localizzazione del comune di Castel Boglione nella provincia di Asti,Castel Boglione – MappaMappa di localizzazione del comune di Castel Boglione nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
