Passerano Marmorito comune,Passerano Marmorito comune.1
,
"Passerano Marmorito – VedutaIn alto il castello medievale di Passerano, al centro il borgo e il castello di Primeglio con sullo sfondo Passerano, in basso a sinistra il borgo di Schierano e in basso a destra i ruderi del castello di Marmorito","Passerano Marmorito – VedutaIn alto il castello medievale di Passerano, al centro il borgo e il castello di Primeglio con sullo sfondo Passerano, in basso a sinistra il borgo di Schierano e in basso a destra i ruderi del castello di Marmorito"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Bruno Panella (lista civica Insieme per Passerano) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°03′24″N 8°01′11″E
Altitudine,320 m s.l.m.
Superficie,"12,03 km²"
Abitanti,445[1] (30-11-2025)
Densità,"36,99 ab./km²"
Frazioni,"Primeglio, Schierano, Marmorito, Rocco, Boscorotondo"
Comuni confinanti,"Albugnano, Aramengo, Capriglio, Castelnuovo Don Bosco, Cerreto d'Asti, Cocconato, Pino d'Asti, Piovà Massaia"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005082
Cod. catastale,G358
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 751 GG[3]"
Nome abitanti,passeranesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Passerano Marmorito,Passerano Marmorito
Passerano Marmorito – MappaMappa di localizzazione del comune di Passerano Marmorito nella provincia di Asti,Passerano Marmorito – MappaMappa di localizzazione del comune di Passerano Marmorito nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
