Cerro Tanaro comune,Cerro Tanaro comune.1
,
Cerro Tanaro – VedutaFabbricato con Torretta (già degli Adorni) - anno 1600 circa,Cerro Tanaro – VedutaFabbricato con Torretta (già degli Adorni) - anno 1600 circa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Corsi Gianmaria (lista civica Insieme per Cerro) dall'8-6-2009
Territorio,Territorio
Coordinate,44°52′27″N 8°21′35″E
Altitudine,109 m s.l.m.
Superficie,"4,65 km²"
Abitanti,595[1] (30-11-2025)
Densità,"127,96 ab./km²"
Comuni confinanti,"Castello di Annone, Masio (AL), Quattordio (AL), Rocchetta Tanaro"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005036
Cod. catastale,C533
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 574 GG[3]"
Nome abitanti,cerresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Cerro Tanaro,Cerro Tanaro
Cerro Tanaro – MappaMappa di localizzazione del comune di Cerro Tanaro nella provincia di Asti,Cerro Tanaro – MappaMappa di localizzazione del comune di Cerro Tanaro nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
