Cortandone comune,Cortandone comune.1
,
Cortandone – VedutaPanorama,Cortandone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Claudio Stroppiana (lista civica Noi per Cortandone) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°57′36″N 8°03′34″E
Altitudine,219 m s.l.m.
Superficie,"5,02 km²"
Abitanti,307[1] (30-11-2025)
Densità,"61,16 ab./km²"
Frazioni,"Campia, Valinosio , Bricco Cisero"
Comuni confinanti,"Camerano Casasco, Cinaglio, Cortazzone, Maretto, Monale"
Altre informazioni,Altre informazioni
Cod. postale,14013
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005045
Cod. catastale,D050
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 697 GG[3]"
Nome abitanti,cortandonesi
Patrono,Sant' Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Cortandone,Cortandone
Cortandone – MappaMappa di localizzazione del comune di Cortandone nella provincia di Asti,Cortandone – MappaMappa di localizzazione del comune di Cortandone nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
