Buttigliera d'Asti comune,Buttigliera d'Asti comune.1
,
Buttigliera d'Asti – VedutaVeduta,Buttigliera d'Asti – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giuseppe Giardino (lista civica un'idea in comune) dal 10-06-2024
Territorio,Territorio
Coordinate,45°01′22″N 7°57′08″E
Altitudine,299 m s.l.m.
Superficie,"19,16 km²"
Abitanti,2 506[1] (30-11-2025)
Densità,"130,79 ab./km²"
Frazioni,"Crivelle, Serra"
Comuni confinanti,"Capriglio, Castelnuovo Don Bosco, Montafia, Moriondo Torinese (TO), Riva presso Chieri (TO), Villanova d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14021
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,005012
Cod. catastale,B306
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 733 GG[3]"
Nome abitanti,buttiglieresi
Patrono,san Bernardo di Chiaravalle
Giorno festivo,20 agosto
Cartografia,Cartografia
Buttigliera d'Asti,Buttigliera d'Asti
Buttigliera d'Asti – MappaLocalizzazione del comune di Buttigliera d'Asti nella provincia di Asti.,Buttigliera d'Asti – MappaLocalizzazione del comune di Buttigliera d'Asti nella provincia di Asti.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
