Cinaglio comune,Cinaglio comune.1
,
Cinaglio – Veduta,Cinaglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Roberto Pitetti (lista civica vivere cinaglio) dal 2023
Territorio,Territorio
Coordinate,44°58′34″N 8°06′04″E
Altitudine,245 m s.l.m.
Superficie,"5,5 km²"
Abitanti,404[1] (30-11-2025)
Densità,"73,45 ab./km²"
Frazioni,"Casero, Madonna, Migliarine, Sorelle, Valancurone, Viavaggio, Montegrosso"
Comuni confinanti,"Asti, Camerano Casasco, Chiusano d'Asti, Cortandone, Monale, Settime"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005039
Cod. catastale,C701
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 688 GG[3]"
Nome abitanti,cinagliesi
Patrono,san Felice di Valois
Cartografia,Cartografia
Cinaglio,Cinaglio
Cinaglio – MappaMappa di localizzazione del comune di Cinaglio nella provincia di Asti,Cinaglio – MappaMappa di localizzazione del comune di Cinaglio nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
