Bubbio comune,Bubbio comune.1
,
Bubbio – VedutaPanorama,Bubbio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Stefano Reggio (lista civica Campanile e grappolo d'uva) dal 26-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°39′52″N 8°17′46″E
Altitudine,224 m s.l.m.
Superficie,"15,76 km²"
Abitanti,794[1] (30-11-2025)
Densità,"50,38 ab./km²"
Comuni confinanti,"Canelli, Cassinasco, Cessole, Loazzolo, Monastero Bormida, Roccaverano"
Altre informazioni,Altre informazioni
Cod. postale,14051
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,005011
Cod. catastale,B236
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 670 GG[3]"
Nome abitanti,bubbiesi
Patrono,san Simone
Giorno festivo,28 ottobre
Cartografia,Cartografia
Bubbio,Bubbio
Bubbio – MappaMappa di localizzazione del comune di Bubbio nella provincia di Asti,Bubbio – MappaMappa di localizzazione del comune di Bubbio nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
