Mongardino comune,Mongardino comune.1
,
Mongardino – VedutaIl municipio del paese,Mongardino – VedutaIl municipio del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Fausto Gulino (lista civica Vivi Mongardino - Crescere Insieme) dal 10-06-2024
Territorio,Territorio
Coordinate,44°50′53″N 8°12′54″E
Altitudine,292 m s.l.m.
Superficie,"6,86 km²"
Abitanti,837[2] (30-11-2025)
Densità,"122,01 ab./km²"
Frazioni,"Garlasca, Madonna, San Pietro Stazione, Serra d'Asti, Terpone, Valbocchetto"
Comuni confinanti,"Asti, Isola d'Asti, Vigliano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005071
Cod. catastale,F361
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 540 GG[4]"
Nome abitanti,mongardinesi
Patrono,san Vincenzo di Saragozza
Giorno festivo,22 gennaio
Cartografia,Cartografia
Mongardino,Mongardino
Mongardino – MappaMappa di localizzazione del comune di Mongardino nella provincia di Asti,Mongardino – MappaMappa di localizzazione del comune di Mongardino nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
