Cerreto d'Asti comune,Cerreto d'Asti comune.1
,
Cerreto d'Asti – VedutaChiesa di sant'Andrea Apostolo,Cerreto d'Asti – VedutaChiesa di sant'Andrea Apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Luigi Fusello (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°03′11″N 8°02′10″E
Altitudine,280 m s.l.m.
Superficie,"4,82 km²"
Abitanti,218[1] (30-11-2025)
Densità,"45,23 ab./km²"
Frazioni,"Casaglio, Gallareto, Monina, Vairola"
Comuni confinanti,"Capriglio, Passerano Marmorito, Piovà Massaia"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005035
Cod. catastale,C528
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 717 GG[3]"
Nome abitanti,cerretesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Cerreto d'Asti,Cerreto d'Asti
Cerreto d'Asti – MappaMappa di localizzazione del comune di Cerreto d'Asti nella provincia di Asti,Cerreto d'Asti – MappaMappa di localizzazione del comune di Cerreto d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
