Moncucco Torinese comune,Moncucco Torinese comune.1
,
Moncucco Torinese – VedutaPanorama su Moncucco Torinese,Moncucco Torinese – VedutaPanorama su Moncucco Torinese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Daniele Giuseppe Bargetto (Lista civica Bargetto per Moncucco) dal 22-9-2020
Territorio,Territorio
Coordinate,45°04′09″N 7°56′01″E
Altitudine,403 m s.l.m.
Superficie,"14,33 km²"
Abitanti,866[1] (30-11-2025)
Densità,"60,43 ab./km²"
Frazioni,"Barbaso, Borelli, Briano, Moglia, Pogliano, Rivalta, Roasine, San Giorgio, San Giuseppe, San Paolo"
Comuni confinanti,"Albugnano, Arignano (TO), Berzano di San Pietro, Castelnuovo Don Bosco, Cinzano (TO), Marentino (TO), Mombello di Torino (TO), Moriondo Torinese (TO), Sciolze (TO)"
Altre informazioni,Altre informazioni
Cod. postale,14024
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,005070
Cod. catastale,F343
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 821 GG[3]"
Nome abitanti,moncucchesi
Patrono,san Bernardino da Siena
Giorno festivo,20 settembre
Cartografia,Cartografia
Moncucco Torinese,Moncucco Torinese
Moncucco Torinese – MappaMappa di localizzazione del comune di Moncucco Torinese nella provincia di Asti,Moncucco Torinese – MappaMappa di localizzazione del comune di Moncucco Torinese nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
