Frinco comune,Frinco comune.1
,
Frinco – Veduta,Frinco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Luigi Ferrero (lista civica) dal 26-05-2019
Territorio,Territorio
Coordinate,45°00′18″N 8°10′23″E
Altitudine,217 m s.l.m.
Superficie,"7,22 km²"
Abitanti,720[1] (30-11-2025)
Densità,"99,72 ab./km²"
Frazioni,"Bricco Morra, Bricco Rampone, Molinasso, San Defendente"
Comuni confinanti,"Castell'Alfero, Corsione, Tonco, Villa San Secondo"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005055
Cod. catastale,D802
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 664 GG[3]"
Nome abitanti,frinchesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Frinco,Frinco
Frinco – MappaMappa di localizzazione del comune di Frinco nella provincia di Asti,Frinco – MappaMappa di localizzazione del comune di Frinco nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
