Vesime comune,Vesime comune.1
,
"Vesime – VedutaLa chiesa di Nostra Signora Assunta e San Martino Vescovo, foto messa a disposizione dal portale beweb","Vesime – VedutaLa chiesa di Nostra Signora Assunta e San Martino Vescovo, foto messa a disposizione dal portale beweb"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Marco Garino (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,44°38′12″N 8°13′42″E
Altitudine,225 m s.l.m.
Superficie,"13,17 km²"
Abitanti,583[1] (30-11-2025)
Densità,"44,27 ab./km²"
Comuni confinanti,"Castino (CN), Cessole, Cossano Belbo (CN), Perletto (CN), Roccaverano, Rocchetta Belbo (CN), San Giorgio Scarampi"
Altre informazioni,Altre informazioni
Cod. postale,14059
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,005113
Cod. catastale,L807
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 671 GG[3]"
Nome abitanti,vesimesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Vesime,Vesime
Vesime – MappaMappa di localizzazione del comune di Vesime nella provincia di Asti,Vesime – MappaMappa di localizzazione del comune di Vesime nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
