Rocchetta Palafea comune,Rocchetta Palafea comune.1
,
Rocchetta Palafea – VedutaVeduta,Rocchetta Palafea – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Massimo Muresu (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°42′30″N 8°20′47″E
Altitudine,423 m s.l.m.
Superficie,"7,84 km²"
Abitanti,321[1] (30-11-2025)
Densità,"40,94 ab./km²"
Frazioni,"Cornigliano, Fleisa, Marenco, Palareta, Paniola, Regione Asinaria, Tesole, Traversa, Valdoche, Valle,Portella"
Comuni confinanti,"Bistagno (AL), Calamandrana, Cassinasco, Castel Boglione, Montabone, Sessame"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005095
Cod. catastale,H466
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 837 GG[3]"
Nome abitanti,rocchettesi
Patrono,sant'Evasio
Giorno festivo,1º dicembre
Cartografia,Cartografia
Rocchetta Palafea,Rocchetta Palafea
Rocchetta Palafea – MappaMappa di localizzazione del comune di Rocchetta Palafea nella provincia di Asti,Rocchetta Palafea – MappaMappa di localizzazione del comune di Rocchetta Palafea nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
