Dusino San Michele comune,Dusino San Michele comune.1
,
Dusino San Michele – VedutaPompa antincendio in primo piano e castello sullo sfondo,Dusino San Michele – VedutaPompa antincendio in primo piano e castello sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Valter Luigi Malino (lista civica Verso il Futuro) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°55′11.35″N 7°58′23.52″E
Altitudine,264 m s.l.m.
Superficie,"11,93 km²"
Abitanti,1 086[1] (30-11-2025)
Densità,"91,03 ab./km²"
Comuni confinanti,"Cantarana, San Paolo Solbrito, Valfenera, Villafranca d'Asti, Villanova d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005052
Cod. catastale,D388
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,dusinesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Dusino San Michele,Dusino San Michele
Dusino San Michele – MappaMappa di localizzazione del comune di Dusino San Michele nella provincia di Asti,Dusino San Michele – MappaMappa di localizzazione del comune di Dusino San Michele nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
