Provincia di Asti provincia,Provincia di Asti provincia.1
,
"Provincia di Asti – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale, 2013","Provincia di Asti – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale, 2013"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Amministrazione,Amministrazione
Capoluogo,Asti
Presidente,Maurizio Rasero (FI) dal 16-9-2022
Data di istituzione,1º aprile 1935
Territorio,Territorio
Coordinate del capoluogo,44°53′56″N 8°12′28″E
Altitudine,da circa 100 m a 845[1] m s.l.m.
Superficie,"1 510,19 km²"
Abitanti,207 162[2] (31-10-2025)
Densità,"137,18 ab./km²"
Comuni,117 comuni
Province confinanti,"Alessandria, Cuneo, Savona, Torino"
Altre informazioni,Altre informazioni
Cod. postale,14100 (Asti) 14010 - 14059 (altri comuni)
Prefisso,"011, 0141, 0144"
Fuso orario,UTC+1
ISO 3166-2,IT-AT
Codice ISTAT,005
Cod. catastale,453567
Targa,AT
Cartografia,Cartografia
Provincia di Asti – Localizzazione,Provincia di Asti – Localizzazione
Provincia di Asti – MappaPosizione della provincia di Asti all'interno del Piemonte,Provincia di Asti – MappaPosizione della provincia di Asti all'interno del Piemonte
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
