Castello di Annone comune,Castello di Annone comune.1
,
Castello di Annone – VedutaIl Municipio,Castello di Annone – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Silvia Ferraris (lista civica Progresso annonese) dall'8-6-2009
Territorio,Territorio
Coordinate,44°52′44″N 8°19′06″E
Altitudine,109 m s.l.m.
Superficie,"23,18 km²"
Abitanti,1 819[1] (30-11-2025)
Densità,"78,47 ab./km²"
Frazioni,"Alberoni, Bordoni, Crocetta, Monfallito, Poggio"
Comuni confinanti,"Asti, Castagnole Monferrato, Cerro Tanaro, Quattordio (AL), Refrancore, Rocca d'Arazzo, Rocchetta Tanaro"
Altre informazioni,Altre informazioni
Cod. postale,14034
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005028
Cod. catastale,A300
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 552 GG[3]"
Nome abitanti,annonesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Castello di Annone,Castello di Annone
Castello di Annone – MappaMappa di localizzazione del comune di Castello di Annone nella provincia di Asti,Castello di Annone – MappaMappa di localizzazione del comune di Castello di Annone nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
