Monastero Bormida comune,Monastero Bormida comune.1
,
Monastero Bormida – VedutaVeduta,Monastero Bormida – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Luigi Gallareto (lista civica Uniti per Monastero) dall'11-6-2018
Territorio,Territorio
Coordinate,44°38′58″N 8°19′40″E
Altitudine,191 m s.l.m.
Superficie,"14,21 km²"
Abitanti,820[1] (30-11-2025)
Densità,"57,71 ab./km²"
Frazioni,"San Desiderio, Santa Libera"
Comuni confinanti,"Bistagno (AL), Bubbio, Cassinasco, Denice (AL), Loazzolo, Ponti (AL), Roccaverano, Sessame"
Altre informazioni,Altre informazioni
Cod. postale,14058
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,005068
Cod. catastale,F325
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 471 GG[3]"
Nome abitanti,monasteresi
Patrono,santa Giulia
Giorno festivo,22 maggio
Cartografia,Cartografia
Monastero Bormida,Monastero Bormida
Monastero Bormida – MappaMappa di localizzazione del comune di Monastero Bormida nella provincia di Asti,Monastero Bormida – MappaMappa di localizzazione del comune di Monastero Bormida nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
