Fontanile comune,Fontanile comune.1
,
Fontanile – VedutaVeduta invernale,Fontanile – VedutaVeduta invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Sandra Balbo (lista civica Noi con voi per Fontanile) dal 25-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°45′10.62″N 8°25′16.82″E
Altitudine,276 m s.l.m.
Superficie,"8,13 km²"
Abitanti,473[1] (30-11-2025)
Densità,"58,18 ab./km²"
Frazioni,"Borgata Casello, Croci"
Comuni confinanti,"Alice Bel Colle (AL), Castel Boglione, Castel Rocchero, Castelletto Molina, Mombaruzzo, Nizza Monferrato, Quaranti"
Altre informazioni,Altre informazioni
Cod. postale,14044
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005054
Cod. catastale,D678
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 714 GG[3]"
Nome abitanti,fontanilesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Fontanile,Fontanile
Fontanile – MappaMappa di localizzazione del comune di Fontanile nella provincia di Asti,Fontanile – MappaMappa di localizzazione del comune di Fontanile nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
