Cortiglione comune,Cortiglione comune.1
,
Cortiglione – Veduta,Cortiglione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Gilio Mario Brondolo (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°49′27″N 8°21′34″E
Altitudine,211 m s.l.m.
Superficie,"8,43 km²"
Abitanti,510[1] (30-11-2025)
Densità,"60,5 ab./km²"
Frazioni,"Bricco Fiore, Brondoli, Cravera, Crociera, Pozzo, San Martino, Serra"
Comuni confinanti,"Belveglio, Incisa Scapaccino, Masio (AL), Rocchetta Tanaro, Vaglio Serra, Vinchio"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005048
Cod. catastale,D072
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 659 GG[3]"
Nome abitanti,cortiglionesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Cortiglione,Cortiglione
Cortiglione – MappaMappa di localizzazione del comune di Cortiglione nella provincia di Asti,Cortiglione – MappaMappa di localizzazione del comune di Cortiglione nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
