Roccaverano comune,Roccaverano comune.1
,
Roccaverano – VedutaLa chiesa di Santa Maria Annunziata,Roccaverano – VedutaLa chiesa di Santa Maria Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Francesco Enrico Cirio (lista civica Per Roccaverano da vivere) dal 09-6-2024
Territorio,Territorio
Coordinate,44°35′36″N 8°16′24″E
Altitudine,759 m s.l.m.
Superficie,"29,98 km²"
Abitanti,361[1] (30-11-2025)
Densità,"12,04 ab./km²"
Frazioni,"Garbaoli, Ovrano, San Gerolamo, San Giovanni, Tassito, Vengore"
Comuni confinanti,"Bubbio, Cessole, Denice (AL), Loazzolo, Mombaldone, Monastero Bormida, Olmo Gentile, San Giorgio Scarampi, Serole, Spigno Monferrato (AL), Vesime"
Altre informazioni,Altre informazioni
Cod. postale,14050
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,005094
Cod. catastale,H451
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 120 GG[3]"
Nome abitanti,roccaveranesi
Patrono,Maria santissima Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Roccaverano,Roccaverano
Roccaverano – MappaMappa di localizzazione del comune di Roccaverano nella provincia di Asti,Roccaverano – MappaMappa di localizzazione del comune di Roccaverano nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
