Albugnano comune,Albugnano comune.1
,
Albugnano – VedutaVeduta del paese,Albugnano – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Aurora Angilletta (lista civica Albugnano in comune) dal 26-5-2019
Territorio,Territorio
Coordinate,45°04′43″N 7°58′20″E
Altitudine,549 m s.l.m.
Superficie,"9,54 km²"
Abitanti,526[1] (30-11-2025)
Densità,"55,14 ab./km²"
Frazioni,"Belsito, Campolungo, Vallana, Vezzolano"
Comuni confinanti,"Aramengo, Berzano di San Pietro, Castelnuovo Don Bosco, Moncucco Torinese, Passerano Marmorito, Pino d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,005002
Cod. catastale,A173
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 943 GG[3]"
Nome abitanti,albugnanesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Albugnano,Albugnano
Albugnano – MappaLocalizzazione del comune di Albugnano nella provincia di Asti,Albugnano – MappaLocalizzazione del comune di Albugnano nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
