Castagnole Monferrato comune,Castagnole Monferrato comune.1
,
Castagnole Monferrato – VedutaChiesa di San Martino,Castagnole Monferrato – VedutaChiesa di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Francesco Marengo (lista civica Campanile) dal 12-05-2022
Territorio,Territorio
Coordinate,44°57′36″N 8°18′20″E
Altitudine,232 m s.l.m.
Superficie,"17,34 km²"
Abitanti,1 132[1] (30-11-2025)
Densità,"65,28 ab./km²"
Frazioni,"Barcara, Valenzani, Valvinera, Versó"
Comuni confinanti,"Asti, Calliano Monferrato, Castello di Annone, Grana Monferrato, Montemagno Monferrato, Portacomaro, Refrancore, Scurzolengo"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005023
Cod. catastale,C047
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 677 GG[3]"
Nome abitanti,Castagnolesi
Patrono,Sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Castagnole Monferrato,Castagnole Monferrato
Castagnole Monferrato – MappaMappa di localizzazione del comune di Castagnole Monferrato nella provincia di Asti,Castagnole Monferrato – MappaMappa di localizzazione del comune di Castagnole Monferrato nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
