Agliano Terme comune,Agliano Terme comune.1
,
Agliano Terme – Veduta,Agliano Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Marco Biglia (lista civica L'alternativa per Agliano) dal 27-5-2019
Territorio,Territorio
Coordinate,44°47′28″N 8°15′05″E
Altitudine,263 m s.l.m.
Superficie,"15,45 km²"
Abitanti,1 549[1] (30-11-2025)
Densità,"100,26 ab./km²"
Frazioni,"Agliano, Bansella, Bologna, Crena, Dani, Dogliano, Fons Salutis, Fonte San Rocco, Goretta, Mola, Monsarinero, Montà, Salere, San Bernardino, San Rocco, Vialta, Vianoce"
Comuni confinanti,"Calosso, Castelnuovo Calcea, Costigliole d'Asti, Moasca, Montegrosso d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14041
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005001
Cod. catastale,A072
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 703 GG[3]"
Nome abitanti,aglianesi
Patrono,san Giacomo Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Agliano Terme,Agliano Terme
Agliano Terme – MappaLocalizzazione del comune di Agliano Terme nella provincia di Asti,Agliano Terme – MappaLocalizzazione del comune di Agliano Terme nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
