Cunico comune,Cunico comune.1
,
Cunico – Veduta,Cunico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Cristina Ceron (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°02′27″N 8°05′52″E
Altitudine,257 m s.l.m.
Superficie,"6,75 km²"
Abitanti,421[1] (30-11-2025)
Densità,"62,37 ab./km²"
Frazioni,"Bricco Forca, Cascine Fareto, Case Graglia, Case Negro, Castellero San Martino, Colombara, Lustra, Ronco, Stazione, Valcroce, Vallera"
Comuni confinanti,"Cortanze, Montechiaro d'Asti, Montiglio Monferrato, Piea, Piovà Massaia"
Altre informazioni,Altre informazioni
Cod. postale,14026
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005051
Cod. catastale,D207
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 698 GG[3]"
Nome abitanti,cunichesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Cunico,Cunico
Cunico – MappaMappa di localizzazione del comune di Cunico nella provincia di Asti,Cunico – MappaMappa di localizzazione del comune di Cunico nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
