Calamandrana comune,Calamandrana comune.1
,
Calamandrana – Veduta,Calamandrana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Lovisolo Giuseppina (lista civica Pace libertà lavoro Calamandrana progetto comune) dal 09-06-2024
Territorio,Territorio
Coordinate,44°44′17″N 8°20′23″E
Altitudine,151 m s.l.m.
Superficie,"12,79 km²"
Abitanti,1 642[1] (30-11-2025)
Densità,"128,38 ab./km²"
Frazioni,"Boidi, Bruciati, Case Vecchie, Chiesa Vecchia, Ferrai, Garbazzola, Quartino, San Vito, Valle Chiozze, Valle San Giovanni"
Comuni confinanti,"Canelli, Cassinasco, Castel Boglione, Nizza Monferrato, Rocchetta Palafea, San Marzano Oliveto"
Altre informazioni,Altre informazioni
Cod. postale,14042
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005013
Cod. catastale,B376
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 535 GG[3]"
Nome abitanti,calamandranesi
Giorno festivo,1º lunedì di agosto
Cartografia,Cartografia
Calamandrana,Calamandrana
Calamandrana – MappaMappa di localizzazione del comune di Calamandrana nella provincia di Asti,Calamandrana – MappaMappa di localizzazione del comune di Calamandrana nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
