Nizza Monferrato comune,Nizza Monferrato comune.1
,
Nizza Monferrato – Veduta,Nizza Monferrato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Simone Nosenzo (lista civica Cambiamo Nizza) dal 6-6-2016
Territorio,Territorio
Coordinate,44°46′29″N 8°21′18″E
Altitudine,138[1] m s.l.m.
Superficie,"30,36 km²"
Abitanti,10 177[2] (30-11-2025)
Densità,"335,21 ab./km²"
Frazioni,"Case Giolito, Istituto San Giuseppe, Ponteverde, Regione Annunziata, Bossola primo, Regione Baglio, Regione Bricco, Regione Campolungo, San Michele, San Nicolao, Sant’Anna, Villa Cerreto, Volta"
Comuni confinanti,"Calamandrana, Castel Boglione, Castelnuovo Belbo, Castelnuovo Calcea, Fontanile, Incisa Scapaccino, Mombaruzzo, San Marzano Oliveto, Vaglio Serra, Vinchio"
Altre informazioni,Altre informazioni
Cod. postale,14049
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005080
Cod. catastale,F902
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 524 GG[4]"
Nome abitanti,nicesi o nizzesi
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Nizza Monferrato,Nizza Monferrato
Nizza Monferrato – MappaMappa di localizzazione del comune di Nizza Monferrato nella provincia di Asti,Nizza Monferrato – MappaMappa di localizzazione del comune di Nizza Monferrato nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
