Cellarengo comune,Cellarengo comune.1
,
Cellarengo – VedutaInstallazione a parete raffigurante la tinca gobba,Cellarengo – VedutaInstallazione a parete raffigurante la tinca gobba
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Adriana Bucco (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,44°51′55″N 7°56′47″E
Altitudine,321 m s.l.m.
Superficie,"10,85 km²"
Abitanti,732[1] (30-11-2025)
Densità,"67,47 ab./km²"
Frazioni,"Menabò, Castellino, Cielo"
Comuni confinanti,"Isolabella (TO), Montà (CN), Poirino (TO), Pralormo (TO), Valfenera"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005033
Cod. catastale,C438
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 752 GG[3]"
Nome abitanti,cellarenghesi
Patrono,san Firmino di Uzès[4]
Giorno festivo,11 ottobre
Cartografia,Cartografia
Cellarengo,Cellarengo
Cellarengo – MappaMappa di localizzazione del comune di Cellarengo nella provincia di Asti,Cellarengo – MappaMappa di localizzazione del comune di Cellarengo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
