Portacomaro comune,Portacomaro comune.1
,
Portacomaro – VedutaVeduta di Portacomaro,Portacomaro – VedutaVeduta di Portacomaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Alessandro Balliano[1] (lista civica Tradizione e futuro) dal 26-5-2019
Territorio,Territorio
Coordinate,44°57′27″N 8°15′29″E
Altitudine,232 m s.l.m.
Superficie,11 km²
Abitanti,1 888[2] (30-11-2025)
Densità,"171,64 ab./km²"
Frazioni,Migliandolo
Comuni confinanti,"Asti, Calliano Monferrato, Castagnole Monferrato, Scurzolengo"
Altre informazioni,Altre informazioni
Cod. postale,14037
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005087
Cod. catastale,G894
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 708 GG[4]"
Nome abitanti,portacomaresi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Portacomaro,Portacomaro
Portacomaro – MappaMappa di localizzazione del comune di Portacomaro nella provincia di Asti,Portacomaro – MappaMappa di localizzazione del comune di Portacomaro nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
