Maranzana comune,Maranzana comune.1
,
Maranzana – VedutaPanorama,Maranzana – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Federico Sciutto (lista civica Lavorare Uniti) dal 2013
Territorio,Territorio
Coordinate,44°45′41″N 8°28′46″E
Altitudine,272 m s.l.m.
Superficie,"4,37 km²"
Abitanti,208[1] (30-11-2025)
Densità,"47,6 ab./km²"
Comuni confinanti,"Alice Bel Colle (AL), Cassine (AL), Mombaruzzo, Ricaldone (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005061
Cod. catastale,E917
Targa,AT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 711 GG[3]"
Nome abitanti,maranzanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Maranzana,Maranzana
Maranzana – MappaMappa di localizzazione del comune di Maranzana nella provincia di Asti,Maranzana – MappaMappa di localizzazione del comune di Maranzana nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
