Scurzolengo comune,Scurzolengo comune.1
,
Scurzolengo – Veduta,Scurzolengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Gianni Maiocco (lista civica) dal 2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°57′57″N 8°16′49″E
Altitudine,253 m s.l.m.
Superficie,"5,34 km²"
Abitanti,525[1] (30-11-2025)
Densità,"98,31 ab./km²"
Frazioni,"Gioia, Monterosso, Monterovere"
Comuni confinanti,"Calliano Monferrato, Castagnole Monferrato, Portacomaro"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005103
Cod. catastale,I555
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,scurzolenghesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Scurzolengo,Scurzolengo
Scurzolengo – MappaMappa di localizzazione del comune di Scurzolengo nella provincia di Asti,Scurzolengo – MappaMappa di localizzazione del comune di Scurzolengo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
