Rocca d'Arazzo comune,Rocca d'Arazzo comune.1
,
Rocca d'Arazzo – Veduta,Rocca d'Arazzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Laura Fontana (lista civica Un paese ci vuole) dal 4-10-2021
Territorio,Territorio
Coordinate,44°52′23″N 8°17′09″E
Altitudine,195 m s.l.m.
Superficie,"12,56 km²"
Abitanti,932[1] (30-11-2025)
Densità,"74,2 ab./km²"
Frazioni,"San Carlo, Santa Caterina, Sant'Anna"
Comuni confinanti,"Asti, Azzano d'Asti, Castello di Annone, Mombercelli, Montaldo Scarampi, Montegrosso d'Asti, Rocchetta Tanaro, Vigliano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005093
Cod. catastale,H392
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 677 GG[3]"
Nome abitanti,rocchesi
Patrono,san Genesio
Giorno festivo,28 agosto
Cartografia,Cartografia
Rocca d'Arazzo,Rocca d'Arazzo
Rocca d'Arazzo – MappaMappa di localizzazione del comune di Rocca d'Arazzo nella provincia di Asti,Rocca d'Arazzo – MappaMappa di localizzazione del comune di Rocca d'Arazzo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
