Villanova d'Asti comune,Villanova d'Asti comune.1
,
Villanova d'Asti – VedutaIl centro storico di Villanova,Villanova d'Asti – VedutaIl centro storico di Villanova
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Roberto Peretti (lista civica Unica Villanova) dal 2022
Territorio,Territorio
Coordinate,44°56′34″N 7°56′18″E
Altitudine,260 m s.l.m.
Superficie,"41,95 km²"
Abitanti,5 505[1] (30-11-2025)
Densità,"131,23 ab./km²"
Frazioni,"Bianchi, Brassicarda, Corveglia, Gianassi, Raspino Nuovo, Raspino Vecchio, Savi, Stazione, Terrazze, Valdichiesa"
Comuni confinanti,"Buttigliera d'Asti, Dusino San Michele, Isolabella (TO), Montafia, Poirino (TO), Riva presso Chieri (TO), San Paolo Solbrito, Valfenera"
Altre informazioni,Altre informazioni
Cod. postale,14019
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005118
Cod. catastale,L984
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,villanovesi
Patrono,sant'Isidoro
Giorno festivo,4 settembre
Cartografia,Cartografia
Villanova d'Asti,Villanova d'Asti
Villanova d'Asti – MappaMappa di localizzazione del comune di Villanova d'Asti nella provincia di Asti,Villanova d'Asti – MappaMappa di localizzazione del comune di Villanova d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
