Azzano d'Asti comune,Azzano d'Asti comune.1
,
Azzano d'Asti – Veduta,Azzano d'Asti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Claudio Carretto (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°52′28″N 8°16′04″E
Altitudine,216 m s.l.m.
Superficie,"6,43 km²"
Abitanti,384[1] (30-11-2025)
Densità,"59,72 ab./km²"
Frazioni,"Boglietto, Marcorina, Moglia"
Comuni confinanti,"Asti, Rocca d'Arazzo"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005006
Cod. catastale,A527
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,azzanesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Azzano d'Asti,Azzano d'Asti
Azzano d'Asti – MappaMappa di localizzazione del comune di Azzano d'Asti nella provincia di Asti,Azzano d'Asti – MappaMappa di localizzazione del comune di Azzano d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
