Grana Monferrato comune,Grana Monferrato comune.1
,
Grana Monferrato – VedutaPanorama del paese,Grana Monferrato – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Cristiano Gavazza (lista civica Io amo Grana) dal 25-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°59′57″N 8°18′02″E
Altitudine,289 m s.l.m.
Superficie,"5,89 km²"
Abitanti,509[1] (30-11-2025)
Densità,"86,42 ab./km²"
Comuni confinanti,"Calliano Monferrato, Casorzo Monferrato, Castagnole Monferrato, Grazzano Badoglio, Moncalvo, Montemagno Monferrato, Penango"
Altre informazioni,Altre informazioni
Cod. postale,14031
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005056
Cod. catastale,E134
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 725 GG[3]"
Nome abitanti,granesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Grana Monferrato,Grana Monferrato
Grana Monferrato – MappaMappa di localizzazione del comune di Grana nella provincia di Asti,Grana Monferrato – MappaMappa di localizzazione del comune di Grana nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
