Muro Lucano comune,Muro Lucano comune.1
,
Muro Lucano – Veduta,Muro Lucano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Giovanni Setaro (FdI) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,40°45′N 15°29′E
Altitudine,600 m s.l.m.
Superficie,"126,18 km²"
Abitanti,4 836[1] (30-11-2025)
Densità,"38,33 ab./km²"
Frazioni,"Capodigiano, Casale San Giuliano, Le Marze, Pontegiacoia, Raitiello"
Comuni confinanti,"Balvano, Bella, Castelgrande, Colliano (SA), Laviano (SA), Ricigliano (SA), San Fele, San Gregorio Magno (SA)"
Altre informazioni,Altre informazioni
Cod. postale,85054
Prefisso,0976
Fuso orario,UTC+1
Codice ISTAT,076053
Cod. catastale,F817
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 000 GG[3]"
Nome abitanti,muresi
Patrono,san Gerardo Maiella
Giorno festivo,2 settembre
Cartografia,Cartografia
Muro Lucano,Muro Lucano
Muro Lucano – MappaPosizione del comune di Muro Lucano all'interno della provincia di Potenza,Muro Lucano – MappaPosizione del comune di Muro Lucano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
