San Martino d'Agri comune,San Martino d'Agri comune.1
,
San Martino d'Agri – Veduta,San Martino d'Agri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Mario Antonio Imperatrice (lista civica Libera mente) dal 4-10-2021
Territorio,Territorio
Coordinate,40°14′N 16°03′E
Altitudine,666 m s.l.m.
Superficie,"50,39 km²"
Abitanti,618[1] (30-11-2025)
Densità,"12,26 ab./km²"
Frazioni,San Pietro
Comuni confinanti,"Armento, Gallicchio, Montemurro, San Chirico Raparo, Spinoso"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076077
Cod. catastale,H994
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 076 GG[3]"
Nome abitanti,sanmartinesi
Patrono,Madonna della Rupe
Giorno festivo,20 agosto
Cartografia,Cartografia
San Martino d'Agri,San Martino d'Agri
San Martino d'Agri – MappaPosizione del comune di San Martino d'Agri all'interno della provincia di Potenza,San Martino d'Agri – MappaPosizione del comune di San Martino d'Agri all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
