Abriola comune,Abriola comune.1
,
Abriola – Veduta,Abriola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Romano Triunfo (lista civica Insieme in comune) dal 6-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°31′N 15°47′E
Altitudine,957 m s.l.m.
Superficie,"97,19[1] km²"
Abitanti,1 195[2] (30-11-2025)
Densità,"12,3 ab./km²"
Frazioni,"Il Palazzo, Tintiera"
Comuni confinanti,"Anzi, Calvello, Marsico Nuovo, Pignola, Sasso di Castalda, Tito"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076001
Cod. catastale,A013
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 650 GG[4]"
Nome abitanti,abriolani
Patrono,san Valentino martire
Giorno festivo,14 febbraio
Cartografia,Cartografia
Abriola,Abriola
Abriola – MappaPosizione del comune di Abriola all'interno della provincia di Potenza,Abriola – MappaPosizione del comune di Abriola all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
