Castelgrande comune,Castelgrande comune.1
,
Castelgrande – Veduta,Castelgrande – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,"Francesco Cianci (lista civica: Castelgrande, la nostra terra) dal 12-6-2022"
Territorio,Territorio
Coordinate,40°47′N 15°26′E
Altitudine,950 m s.l.m.
Superficie,"34,9 km²"
Abitanti,786[1] (30-11-2025)
Densità,"22,52 ab./km²"
Frazioni,La Cambestra
Comuni confinanti,"Laviano (SA), Muro Lucano, Pescopagano, Rapone, San Fele"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0976
Fuso orario,UTC+1
Codice ISTAT,076021
Cod. catastale,C120
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,castelgrandesi
Patrono,san Vito
Giorno festivo,5 luglio
Cartografia,Cartografia
Castelgrande,Castelgrande
Castelgrande – MappaPosizione del comune di Castelgrande all'interno della provincia di Potenza,Castelgrande – MappaPosizione del comune di Castelgrande all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
