Picerno comune,Picerno comune.1
,
Picerno – Veduta,Picerno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Margherita Scavone (lista civica di centro-destra Picerno Identità e Futuro) dal 9-6-2024
Territorio,Territorio
Coordinate,40°38′N 15°38′E
Altitudine,721 m s.l.m.
Superficie,"78,51[1] km²"
Abitanti,5 580[2] (30-11-2025)
Densità,"71,07 ab./km²"
Comuni confinanti,"Balvano, Baragiano, Potenza, Ruoti, Savoia di Lucania, Tito, Vietri di Potenza"
Altre informazioni,Altre informazioni
Cod. postale,85055
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076059
Cod. catastale,G590
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 265 GG[4]"
Nome abitanti,picernesi
Patrono,san Nicola
Giorno festivo,9 maggio e 6 dicembre
Cartografia,Cartografia
Picerno,Picerno
Picerno – MappaPosizione del comune di Picerno all'interno della provincia di Potenza,Picerno – MappaPosizione del comune di Picerno all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
