Paterno comune,Paterno comune.1
,
Paterno – Veduta,Paterno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Tania Gioia (lista civica Sorgente) dal 5-10-2021
Data di istituzione,1973
Territorio,Territorio
Coordinate,40°23′N 15°44′E
Altitudine,634 m s.l.m.
Superficie,"40,74 km²"
Abitanti,2 957[1] (30-11-2025)
Densità,"72,58 ab./km²"
Frazioni,"Pecci, Piazzolla"
Comuni confinanti,"Marsico Nuovo, Marsicovetere, Padula (SA), Tramutola"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076100
Cod. catastale,M269
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 062 GG[3]"
Nome abitanti,paternesi
Patrono,"Beata Vergine Maria del Monte Carmelo, San Giovanni Evangelista"
Giorno festivo,"5 e 6 maggio, 16 luglio"
Cartografia,Cartografia
Paterno,Paterno
Paterno – MappaPosizione del comune di Paterno all'interno della provincia di Potenza,Paterno – MappaPosizione del comune di Paterno all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
