Viggiano comune,Viggiano comune.1
,
Viggiano – Veduta,Viggiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Amedeo Cicala (lista civica Rinnovamento e unione) dal 26-5-2014 (2º mandato dal 27-5-2019 3º mandato 09-6-2024)
Territorio,Territorio
Coordinate,40°20′N 15°54′E
Altitudine,1 023[1] m s.l.m.
Superficie,"89,7 km²"
Abitanti,3 206[2] (30-11-2025)
Densità,"35,74 ab./km²"
Comuni confinanti,"Calvello, Corleto Perticara, Grumento Nova, Laurenzana, Marsicovetere, Montemurro"
Altre informazioni,Altre informazioni
Cod. postale,85059
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076098
Cod. catastale,L874
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 683 GG[4]"
Nome abitanti,viggianesi
Patrono,Madonna Nera del Sacro Monte di Viggiano
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Viggiano,Viggiano
Viggiano – MappaPosizione del comune di Viggiano all'interno della provincia di Potenza,Viggiano – MappaPosizione del comune di Viggiano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
