Forenza comune,Forenza comune.1
,
Forenza – Veduta,Forenza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Francesco Mastrandrea (lista civica Forenza autentica) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,40°52′N 15°51′E
Altitudine,836 m s.l.m.
Superficie,"116,31 km²"
Abitanti,1 729[1] (30-11-2025)
Densità,"14,87 ab./km²"
Comuni confinanti,"Acerenza, Avigliano, Banzi, Filiano, Ginestra, Maschito, Palazzo San Gervasio, Pietragalla, Ripacandida"
Altre informazioni,Altre informazioni
Cod. postale,85023
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076033
Cod. catastale,D696
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 275 GG[3]"
Nome abitanti,"forenzesi, forentani"
Patrono,Sant'Antonio di Padova e San Vito martire
Giorno festivo,13 e 15 Giugno
Cartografia,Cartografia
Forenza,Forenza
Forenza – MappaPosizione del comune di Forenza all'interno della provincia di Potenza,Forenza – MappaPosizione del comune di Forenza all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
