Lauria comune,Lauria comune.1
,
Lauria – Veduta,Lauria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Gianni Pittella (Azione) dal 5-10-2021
Territorio,Territorio
Coordinate,40°02′50″N 15°50′09″E
Altitudine,430 m s.l.m.
Superficie,"176,63 km²"
Abitanti,11 652[1] (30-11-2025)
Densità,"65,97 ab./km²"
Frazioni,vedi Frazioni
Comuni confinanti,"Castelluccio Superiore, Castelsaraceno, Lagonegro, Laino Borgo (CS), Latronico, Moliterno, Nemoli, Tortora (CS), Trecchina"
Altre informazioni,Altre informazioni
Cod. postale,85044
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076042
Cod. catastale,E483
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 691 GG[3]"
Nome abitanti,laurioti
Patrono,beato Domenico Lentini
Giorno festivo,25 febbraio
Cartografia,Cartografia
Lauria,Lauria
Lauria – MappaPosizione del comune di Lauria all'interno della provincia di Potenza,Lauria – MappaPosizione del comune di Lauria all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
