Grumento Nova comune,Grumento Nova comune.1
,
Grumento Nova – Veduta,Grumento Nova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonio Maria Imperatrice (lista civica Grumento democratica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°17′02″N 15°53′23″E
Altitudine,771 m s.l.m.
Superficie,"66,65 km²"
Abitanti,1 514[1] (30-11-2025)
Densità,"22,72 ab./km²"
Frazioni,Bacino Pertusillo
Comuni confinanti,"Marsicovetere, Moliterno, Montemurro, Sarconi, Spinoso, Tramutola, Viggiano"
Altre informazioni,Altre informazioni
Cod. postale,85050
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,076037
Cod. catastale,E221
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 311 GG[3]"
Nome abitanti,grumentini
Patrono,Madonna del Monserrato - san Laverio
Giorno festivo,ultima domenica di agosto - 17 novembre
Cartografia,Cartografia
Grumento Nova,Grumento Nova
Grumento Nova – MappaPosizione del comune di Grumento Nova all'interno della provincia di Potenza,Grumento Nova – MappaPosizione del comune di Grumento Nova all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
