Avigliano comune,Avigliano comune.1
,
Avigliano – Veduta,Avigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Mecca (centro-destra) dal 9-6-2024
Territorio,Territorio
Coordinate,40°44′N 15°43′E
Altitudine,800 m s.l.m.
Superficie,"85,48[1] km²"
Abitanti,10 338[2] (30-11-2025)
Densità,"120,94 ab./km²"
Frazioni,"Castel Lagopesole, Possidente, Sant'Angelo, Sarnelli"
Comuni confinanti,"Atella, Bella, Filiano, Forenza, Pietragalla, Potenza, Ruoti"
Altre informazioni,Altre informazioni
Cod. postale,85021
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076007
Cod. catastale,A519
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 284 GG[4]"
Nome abitanti,aviglianesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Avigliano,Avigliano
Avigliano – MappaPosizione del comune di Avigliano all'interno della provincia di Potenza,Avigliano – MappaPosizione del comune di Avigliano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
