Episcopia comune,Episcopia comune.1
,
"Episcopia – VedutaEpiscopia, vista di Piazza Arcieri","Episcopia – VedutaEpiscopia, vista di Piazza Arcieri"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Egidio Vecchione (lista civica Uniti per crescere) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°04′29.32″N 16°05′53.45″E
Altitudine,530 m s.l.m.
Superficie,"28,64 km²"
Abitanti,1 193[1] (30-11-2025)
Densità,"41,66 ab./km²"
Frazioni,"Demanio, Fichi D'Antuono, Lago Angella, Manca di Basso, Manca di Sopra"
Comuni confinanti,"Carbone, Chiaromonte, Fardella, Latronico, San Severino Lucano"
Altre informazioni,Altre informazioni
Cod. postale,85033
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076030
Cod. catastale,D414
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 873 GG[3]"
Nome abitanti,episcopioti
Patrono,san Nicola
Giorno festivo,2ª domenica di maggio
Cartografia,Cartografia
Episcopia,Episcopia
Episcopia – MappaPosizione del comune di Episcopia all'interno della provincia di Potenza,Episcopia – MappaPosizione del comune di Episcopia all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
