Fardella comune,Fardella comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Mariangela Coringrato (lista civica Fardella nel cuore) dal 4-10-2021
Territorio,Territorio
Coordinate,40°07′N 16°10′E
Altitudine,745 m s.l.m.
Superficie,"29,08 km²"
Abitanti,571[1] (30-11-2025)
Densità,"19,64 ab./km²"
Comuni confinanti,"Carbone, Castelluccio Inferiore, Chiaromonte, Episcopia, Francavilla in Sinni, Latronico, San Severino Lucano, Teana, Viggianello"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076031
Cod. catastale,D497
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 206 GG[3]"
Nome abitanti,fardellesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Fardella,Fardella
Fardella – MappaPosizione del comune di Fardella all'interno della provincia di Potenza,Fardella – MappaPosizione del comune di Fardella all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
