Latronico comune,Latronico comune.1
,
Latronico – VedutaIl centro storico (Capadavutu) visto dal rione Munisterio,Latronico – VedutaIl centro storico (Capadavutu) visto dal rione Munisterio
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Fausto Alberto De Maria (lista civica Svolta democratica) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°05′24″N 16°00′39″E
Altitudine,888 m s.l.m.
Superficie,"76,66 km²"
Abitanti,3 951[1] (30-11-2025)
Densità,"51,54 ab./km²"
Frazioni,"Agromonte Magnano, Agromonte Mileo, Calda, Cerri, Fraccia-Laghi, Iannazzo, Ischitelli, Lucarelli, Battista, Mastroluca, Masullo, Pargo, Pantoni, Perosa, Perricchio, Preti, Procoio, Serrone, Varrazzo, Santa Croce[2]"
Comuni confinanti,"Carbone, Castelluccio Inferiore, Castelluccio Superiore, Castelsaraceno, Episcopia, Fardella, Lauria[3]"
Altre informazioni,Altre informazioni
Cod. postale,85043
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076040
Cod. catastale,E474
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 535 GG[5]"
Nome abitanti,latronichesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Latronico,Latronico
Latronico – MappaPosizione del comune di Latronico all'interno della provincia di Potenza,Latronico – MappaPosizione del comune di Latronico all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
