Lagonegro comune,Lagonegro comune.1
,
Lagonegro – Veduta,Lagonegro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Salvatore Falabella (centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,40°08′N 15°46′E
Altitudine,666 m s.l.m.
Superficie,"113,07 km²"
Abitanti,4 912[1] (30-11-2025)
Densità,"43,44 ab./km²"
Frazioni,"Casale Serino, Cervaro, Farno, Fecìla, Fortino, Malpignata, Pennarone, Strette"
Comuni confinanti,"Casalbuono (SA), Casaletto Spartano (SA), Lauria, Moliterno, Montesano sulla Marcellana (SA), Nemoli, Rivello, Tortorella (SA)"
Altre informazioni,Altre informazioni
Cod. postale,85042
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076039
Cod. catastale,E409
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 120 GG[3]"
Nome abitanti,lagonegresi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Lagonegro,Lagonegro
Lagonegro – MappaPosizione del comune di Lagonegro all'interno della provincia di Potenza,Lagonegro – MappaPosizione del comune di Lagonegro all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
