Castelsaraceno comune,Castelsaraceno comune.1
,
Castelsaraceno – Veduta,Castelsaraceno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Rocco Rosano (lista civica Visione democratica) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°10′N 15°59′E
Altitudine,916 m s.l.m.
Superficie,"74,78 km²"
Abitanti,1 114[1] (30-11-2025)
Densità,"14,9 ab./km²"
Frazioni,"Bruscati, Frusci, Miraldo, Pié d'Alpi"
Comuni confinanti,"Carbone, Latronico, Lauria, Moliterno, San Chirico Raparo, Sarconi, Spinoso"
Altre informazioni,Altre informazioni
Cod. postale,85031
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076025
Cod. catastale,C271
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 586 GG[3]"
Nome abitanti,castellani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Castelsaraceno,Castelsaraceno
Castelsaraceno – MappaPosizione del comune di Castelsaraceno all'interno della provincia di Potenza,Castelsaraceno – MappaPosizione del comune di Castelsaraceno all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
