Brindisi Montagna comune,Brindisi Montagna comune.1
,
Brindisi Montagna – Veduta,Brindisi Montagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Gerardo Larocca (lista civica Radici comunità futuro) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°37′N 15°56′E
Altitudine,800 m s.l.m.
Superficie,"59,88 km²"
Abitanti,757[1] (30-11-2025)
Densità,"12,64 ab./km²"
Comuni confinanti,"Albano di Lucania, Anzi, Potenza, Tricarico (MT), Trivigno, Vaglio Basilicata"
Altre informazioni,Altre informazioni
Cod. postale,85010
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076014
Cod. catastale,B181
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 364 GG[3]"
Nome abitanti,brindisini
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Brindisi Montagna,Brindisi Montagna
Brindisi Montagna – MappaPosizione del comune di Brindisi Montagna all'interno della provincia di Potenza,Brindisi Montagna – MappaPosizione del comune di Brindisi Montagna all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
