Moliterno comune,Moliterno comune.1
,
Moliterno – Veduta,Moliterno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Antonio Rubino (lista civica Di nuovo Moliterno) dal 21-9-2020
Territorio,Territorio
Coordinate,40°14′24″N 15°51′36″E
Altitudine,879 m s.l.m.
Superficie,"98,55 km²"
Abitanti,3 494[1] (30-11-2025)
Densità,"35,45 ab./km²"
Frazioni,"Fontana D'Eboli, Piani di Maglia, Rimindiello, Tempa del Conte, Madonna del Carmine, San Nicola, Santo Martino, San Giovanni, Paradiso, Cantarelle, Chiaito, Malfitani, Sorgituro, Pantanelle, Spineta"
Comuni confinanti,"Castelsaraceno, Grumento Nova, Lagonegro, Lauria, Montesano sulla Marcellana (SA), Sarconi, Tramutola"
Altre informazioni,Altre informazioni
Cod. postale,85047
Prefisso,0975 - 64 - 67 (nove cifre) - 66 (dieci cifre)
Fuso orario,UTC+1
Codice ISTAT,076050
Cod. catastale,F295
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 295 GG[3]"
Nome abitanti,moliternesi
Patrono,san Domenico
Giorno festivo,4 agosto
Cartografia,Cartografia
Moliterno,Moliterno
Moliterno – MappaPosizione del comune di Moliterno all'interno della provincia di Potenza,Moliterno – MappaPosizione del comune di Moliterno all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
