Montemurro comune,Montemurro comune.1
,
Montemurro – Veduta,Montemurro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Senatro Di Leo (PD/lista civica Impegno per Montemurro) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°18′N 15°59′E
Altitudine,723 m s.l.m.
Superficie,"56,87 km²"
Abitanti,1 022[1] (30-11-2025)
Densità,"17,97 ab./km²"
Frazioni,Le Piane
Comuni confinanti,"Armento, Corleto Perticara, Grumento Nova, San Martino d'Agri, Spinoso, Viggiano"
Altre informazioni,Altre informazioni
Cod. postale,85053
Prefisso,0971
Fuso orario,UTC+1
Codice ISTAT,076052
Cod. catastale,F573
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 224 GG[3]"
Nome abitanti,montemurresi (munt'murris')
Patrono,san Giorgio e san Maurizio (compatroni). San Rocco è glorioso protettore.[4]
Giorno festivo,23 aprile (san Giorgio) e 16-18 agosto (san Rocco)
Cartografia,Cartografia
Montemurro,Montemurro
Montemurro – MappaPosizione del comune di Montemurro all'interno della provincia di Potenza,Montemurro – MappaPosizione del comune di Montemurro all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
