Teana comune,Teana comune.1
,
Teana – Veduta,Teana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Vincenzo Marino (lista civica Per Teana) dal 4-10-2021
Territorio,Territorio
Coordinate,40°07′40″N 16°09′19″E
Altitudine,806 m s.l.m.
Superficie,"19,3 km²"
Abitanti,500[1] (30-11-2025)
Densità,"25,91 ab./km²"
Comuni confinanti,"Calvera, Carbone, Castronuovo di Sant'Andrea, Chiaromonte, Fardella"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076087
Cod. catastale,L082
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 248 GG[3]"
Nome abitanti,teanesi
Patrono,san Biagio
Giorno festivo,8 agosto - 9 agosto
Cartografia,Cartografia
Teana,Teana
Teana – MappaPosizione del comune di Teana all'interno della provincia di Potenza,Teana – MappaPosizione del comune di Teana all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
